ticker,dateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AAPL,2018-06-30,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-01,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-02,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-03,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-04,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-05,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-06,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-07,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-08,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-09,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
