ticker,date,OPEN,HIGH,LOW,CLOSE,VOLUME
TSLA,2018-01-02,312.0,322.11,311.0,320.53,4326988.0
TSLA,2018-01-03,321.0,325.25,315.55,317.25,4185665.0
TSLA,2018-01-04,312.87,318.55,305.68,314.62,9915932.0
TSLA,2018-01-05,316.62,317.24,312.0,316.58,4578729.0
TSLA,2018-01-08,316.0,337.02,315.5,336.41,9777059.0
TSLA,2018-01-09,335.16,338.8,327.4,333.69,7109115.0
TSLA,2018-01-10,332.2,337.0,330.0,334.8,4236168.0
TSLA,2018-01-11,335.24,344.81,333.26,337.95,6619082.0
TSLA,2018-01-12,338.63,340.41,333.67,336.22,4805025.0
TSLA,2018-01-16,337.54,345.0,334.8,340.06,6392397.0
TSLA,2018-01-17,340.47,349.0,339.75,347.16,7062337.0
TSLA,2018-01-18,345.67,352.3,343.74,344.57,5619990.0
TSLA,2018-01-19,345.0,350.59,342.6,350.02,4812052.0
TSLA,2018-01-22,349.4,357.83,349.2,351.56,6157941.0
TSLA,2018-01-23,360.0,360.5,351.0,352.79,5428872.0
TSLA,2018-01-24,354.58,354.75,343.52,345.89,5251654.0
TSLA,2018-01-25,348.27,349.2,336.4,337.64,6640964.0
TSLA,2018-01-26,341.5,344.0,335.71,342.85,4515013.0
TSLA,2018-01-29,339.85,350.85,338.28,349.53,4722025.0
TSLA,2018-01-30,345.14,348.27,342.17,345.82,4696465.0
TSLA,2018-01-31,347.51,356.19,345.19,354.31,6076998.0
TSLA,2018-02-01,351.0,359.66,348.63,349.25,4163194.0
TSLA,2018-02-02,348.44,351.95,340.51,343.75,3674909.0
TSLA,2018-02-05,337.97,344.47,333.0,333.13,4053777.0
TSLA,2018-02-06,325.21,336.22,323.5,333.97,4937928.0
TSLA,2018-02-07,338.99,346.0,335.66,345.0,5846823.0
TSLA,2018-02-08,343.31,348.62,314.6,315.23,9996464.0
TSLA,2018-02-09,319.93,320.98,294.76,310.42,12795099.0
TSLA,2018-02-12,316.13,318.08,306.25,315.73,6166161.0
TSLA,2018-02-13,315.02,324.19,312.51,323.66,4506915.0
TSLA,2018-02-14,320.84,326.17,318.52,322.31,3930911.0
TSLA,2018-02-15,324.5,334.12,322.4,334.07,5892048.0
TSLA,2018-02-16,332.5,343.12,331.64,335.49,5585810.0
TSLA,2018-02-20,334.47,340.84,331.5,334.77,3996951.0
TSLA,2018-02-21,336.03,339.69,333.17,333.3,3181755.0
TSLA,2018-02-22,335.53,347.44,334.75,346.17,6940349.0
TSLA,2018-02-23,347.83,354.99,347.1,352.05,5790795.0
TSLA,2018-02-26,353.5,359.0,352.36,357.42,4312871.0
TSLA,2018-02-27,356.25,359.99,350.01,350.99,4761537.0
TSLA,2018-02-28,352.57,355.24,342.22,343.06,6042895.0
TSLA,2018-03-01,345.01,348.67,330.07,330.93,6885600.0
TSLA,2018-03-02,326.98,335.22,322.97,335.12,5092800.0
TSLA,2018-03-05,332.39,337.75,329.29,333.35,3823800.0
TSLA,2018-03-06,333.75,336.37,327.03,328.2,4285700.0
TSLA,2018-03-07,325.44,332.5,321.74,332.3,5007297.0
TSLA,2018-03-08,332.86,333.3,326.27,329.1,3476944.0
TSLA,2018-03-09,324.1,328.49,322.37,327.17,5479716.0
TSLA,2018-03-12,328.61,347.21,326.5,345.51,8212156.0
TSLA,2018-03-13,328.61,347.21,326.5,341.84,5932110.0
TSLA,2018-03-14,336.76,339.81,323.93,326.63,7932511.0
TSLA,2018-03-15,329.38,332.85,321.1,325.6,6366922.0
TSLA,2018-03-16,322.93,327.4,319.07,321.35,6058612.0
TSLA,2018-03-19,316.5,320.75,309.67,313.56,7440766.0
TSLA,2018-03-20,314.87,316.25,308.76,310.55,4726182.0
TSLA,2018-03-21,310.25,322.44,310.19,316.53,5927881.0
TSLA,2018-03-22,313.89,318.82,308.18,309.1,4914307.0
TSLA,2018-03-23,311.25,311.25,300.45,301.54,6600538.0
TSLA,2018-03-26,307.34,307.59,291.36,304.18,8324639.0
TSLA,2018-03-27,304.0,304.27,277.18,279.18,13696168.0
TSLA,2018-03-28,264.58,268.68,252.1,257.78,21001400.0
TSLA,2018-03-29,256.49,270.96,248.21,266.13,15170700.0
TSLA,2018-04-02,256.26,260.33,244.59,252.48,16114000.0
TSLA,2018-04-03,269.82,273.35,254.49,267.53,18844400.0
TSLA,2018-04-04,252.78,288.37,252.0,286.94,19896700.0
TSLA,2018-04-05,289.34,306.26,288.2,305.72,19121100.0
TSLA,2018-04-06,301.0,309.28,295.5,299.3,13520300.0
