,Unnamed: 0,ID,Stock,Date,User_Name,User_ID,User_Followers,User_Verified,User_Lists,Likes,Retweets,Replies,URL,Text,neg,neu,pos,compound,sentiment_type
0,0,1212523706074816512,TSLA,2020-01-01 23:59:13+00:00,Vincent Yu,1689516060,146990,0,813,148,15,1,https://twitter.com/vincent13031925/status/1212523706074816512,"Tesla Dominated Dutch EV Market With Close To 30,000 Model 3 Registered in 2019 Tesla Model 3 Netherlands",0.0,1.0,0.0,0.0,NEUTRAL
1,1,1212513037233483776,TSLA,2020-01-01 23:16:50+00:00,Vincent Yu,1689516060,146990,0,813,171,16,8,https://twitter.com/vincent13031925/status/1212513037233483776,"Short sellers of aka TSLAQ were down $ 7.6 billion in market to market losses from June 3 to mid December 2019 , per S3",0.114,0.886,0.0,-0.4019,NEGATIVE
2,2,1212497493038116864,TSLA,2020-01-01 22:15:04+00:00,Tesla New York,1374059611,9689,0,226,417,77,6,https://twitter.com/TeslaNY/status/1212497493038116864,"Doug DeMuro awards Tesla Model 3 Performance car of the year 2019 It s gotten to the point where you almost can t afford not to get a Model 3 Perf bc it offers so much for the money , it d be difficult to justify buying any other vehicle",0.054,0.882,0.065,0.128,POSITIVE
3,3,1212467746736181248,TSLA,2020-01-01 20:16:52+00:00,Vincent Yu,1689516060,146990,0,813,402,43,15,https://twitter.com/vincent13031925/status/1212467746736181248,"From KPI data indicated Tesla China sold about 50,000 vehicles in 2019 , also from the people who familiar with the matter said that China is targeting to increase 500 in 2020 , reaching 250,000 vehicles My estimate of 150K or equal to 300 grow is being very conservative",0.0,0.894,0.106,0.4939,POSITIVE
4,4,1212461753818210304,TSLA,2020-01-01 19:53:03+00:00,Vincent Yu,1689516060,146990,0,813,243,35,13,https://twitter.com/vincent13031925/status/1212461753818210304,Tesla prepares to open R D office in Israel by via com Tesla Israel,0.0,1.0,0.0,0.0,NEUTRAL
5,5,1212876204899848193,TSLA,2020-01-02 23:19:56+00:00,Hex Mage CLB of CCIP,1048358290130751488,13631,0,129,68,10,2,https://twitter.com/ChainlinkBull/status/1212876204899848193,2020 is already a memetic year is over $ 420 currently trading at $ 430 crushing estimates and cruising through $ 300 Largest retail plays in the market just killing it Crypto making yearly lows and in deep re accumulation The stage is set for,0.182,0.776,0.042,-0.7717,NEGATIVE
6,6,1212871609838718977,TSLA,2020-01-02 23:01:40+00:00,Yaman Tasdivar,732548050728701953,12301,0,256,701,69,118,https://twitter.com/ValueAnalyst1/status/1212871609838718977,I ll eat my shoe if the market capitalization of is less than that of in 2025,0.0,1.0,0.0,0.0,NEUTRAL
7,7,1212845913091252237,TSLA,2020-01-02 21:19:33+00:00,Nikola’s Stache,529753995,2303,0,57,63,18,7,https://twitter.com/BSA19741/status/1212845913091252237,"In March 2019 Musk declared that it would be the year of the solar roof In May , he said 1,000 per week would be built in December 2019 Fewer than 100 exist ... anywhere Fewer than 10 V3 s have been installed",0.0,1.0,0.0,0.0,NEUTRAL
8,8,1212832821712228352,TSLA,2020-01-02 20:27:32+00:00,🚀 🐉 Steve Hamel 🐉🚀,999632398525530114,7799,0,75,205,29,26,https://twitter.com/SteveHamel16/status/1212832821712228352,Mark Spiegel Covers Half of Tesla Short Position After Unexpected Devastating Losses via,0.389,0.611,0.0,-0.7906,NEGATIVE
9,9,1212824792585269248,TSLA,2020-01-02 19:55:38+00:00,Ross Gerber,349249475,190819,1,2186,183,20,15,https://twitter.com/GerberKawasaki/status/1212824792585269248,Huge first day of the year Tesla up over $ 11 Apple $ 5 and Disney now up over $ 3 on the possibility they have 25 mil DisneyPlus subs Huge day so far,0.0,0.854,0.146,0.5574,POSITIVE
10,10,1213218218749284352,TSLA,2020-01-03 21:58:58+00:00,Ross Gerber,349249475,190819,1,2186,730,76,22,https://twitter.com/GerberKawasaki/status/1213218218749284352,Tesla short sellers have lost $ 900 mil in the first 2 trading days of the year According to S3 Long share owners have made billions for the long term,0.075,0.852,0.072,-0.0258,NEGATIVE
11,11,1213217587766579201,TSLA,2020-01-03 21:56:28+00:00,Vincent Yu,1689516060,146990,0,813,153,21,1,https://twitter.com/vincent13031925/status/1213217587766579201,Bargersville Police Chief Todd Bertram is very pleased with the use of the Tesla Model 3 Tesla Model 3,0.0,0.834,0.166,0.4927,POSITIVE
